method,method_label,map,scenario,agents,success_rate,n_cases
lacam_focal_h,LaCAM-TAPF,room-64-64-8,100,40,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,100,45,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,100,50,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,100,55,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,100,60,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,10,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,20,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,30,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,40,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,50,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,60,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,70,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,80,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,90,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,100,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,110,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,120,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,130,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,140,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,150,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,160,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,170,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,180,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,190,1.0,20
lacam_focal_h,LaCAM-TAPF,room-64-64-8,G,200,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,15,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,20,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,25,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,30,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,35,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,40,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,45,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,50,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,55,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,000,60,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,15,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,20,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,25,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,30,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,35,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,40,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,45,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,50,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,55,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,030,60,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,15,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,20,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,25,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,30,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,35,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,40,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,45,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,50,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,55,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,060,60,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,15,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,20,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,25,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,30,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,35,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,40,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,45,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,50,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,55,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,100,60,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,10,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,20,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,30,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,40,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,50,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,60,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,70,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,80,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,90,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,100,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,110,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,120,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,130,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,140,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,150,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,160,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,170,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,180,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,190,1.0,20
lacam_focal_h,LaCAM-TAPF,symbotic,G,200,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,15,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,20,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,25,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,30,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,35,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,40,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,45,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,50,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,55,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,000,60,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,15,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,20,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,25,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,30,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,35,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,40,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,45,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,50,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,55,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,030,60,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,15,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,20,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,25,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,30,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,35,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,40,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,45,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,50,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,55,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,060,60,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,15,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,20,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,25,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,30,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,35,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,40,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,45,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,50,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,55,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,100,60,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,10,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,20,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,30,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,40,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,50,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,60,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,70,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,80,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,90,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,100,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,110,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,120,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,130,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,140,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,150,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,160,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,170,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,180,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,190,1.0,20
lacam_focal_h,LaCAM-TAPF,warehouse-10-20-10-2-1,G,200,1.0,20
